Time Between Sends vs. Total Time,,,,,,,,,,,,,,,,,,,,
Time Between Sends,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Total Time (GBN),1574,1619,1626,1039,1077,821,964,799,1050,989,1238,1293,1374,1588,1467,1569,1820,1757,1761,1644
Total Time (TCP),689,680,533,698,652,638,746,904,958,1020,1117,1106,1442,1401,1464,1829,1630,1873,2016,2142
Loss Probability vs. Total Time,,,,,,,,,,,,,,,,,,,,
Loss Probability,0,0.035,0.07,0.105000004,0.14,0.175,0.21000001,0.245,0.28,0.315,0.35,0.385,0.42000002,0.455,0.49,0.525,0.56,0.595,0.63,0.665
Total Time (GBN),1286,3854,2462,1275,1325,848,755,688,551,583,452,514,523,499,711,672,771,789,912,1075
Total Time (TCP),267,388,357,525,562,609,797,855,789,872,832,1138,1155,1393,1469,1610,1780,2192,2205,2619
Corruption Probability vs. Total Time,,,,,,,,,,,,,,,,,,,,
Corruption Probability,0,0.035,0.07,0.105000004,0.14,0.175,0.21000001,0.245,0.28,0.315,0.35,0.385,0.42000002,0.455,0.49,0.525,0.56,0.595,0.63,0.665
Total Time (GBN),1616,3425,3741,1884,2948,3273,2175,5048,3565,4395,3895,3290,3657,3609,4339,4096,4412,4299,3977,3716
Total Time (TCP),244,331,441,559,652,620,700,769,781,944,1045,1057,1072,1435,1486,1704,1979,2174,2521,3391
Windows Size vs. Total Time,,,,,,,,,,,,,,,,,,,,
Windows Size,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Total Time (GBN),2373,2860,8500,5765,2811,1885,3852,5589,3009,4106,3144,5844,5734,3831,2870,2056,3595,3022,3892,2151
Total Time (TCP),759,739,763,779,741,677,630,749,679,818,820,747,556,815,711,646,663,662,744,760
